Study,Progress monitoring method,Focal behavior/outcome,NE,Nc,PM,GA
Abrahams et al. (2010),Diary,Prophylaxis use,125,128,.27*ᵃ,.15c
Anderson et al. (2011),Diary,Weight,18,13,4.31***b,3.21***d
Andrews et al. (2011),Pedometer,BG,240,246,4.11***b,-.02de
Antypas & Wangberg (2014),Website,PA,27,37,.17ᵃ,.84*c
Arbour & Martin Ginis (2008),Log book,PA,25,17,.10a,.50de
Aronson (2006),Diary,Medication adherence,19,19,-.61ª,.11°
Atienza et al. (2008),PDA,Diet,16,11,2.95***b,.51d
Beasley et al. (2008),Diary,Weight,71,78,.00a,.25d
Bell et al. (2012),Log/diary,BG,31,33,-.36ᵃ,.32d
Berg et al. (1997),Diary,Asthma,31,24,4.32****,.12de
Blasco et al. (2012),Internet,CAD,87,83,4.07***b,.09d
Abraira et al. (1995),SMBG,BG,75,78,2.41****,.47**°
Boutelle et al. (1999),Diary,Weight,26,31,.47a,1.64*
Brindal et al. (2013),Phone,Weight,21,23,.95***,.37de
Buist et al. (2006),Diary,Asthma,149,147,.00a,.16de
Caldwell et al. (2005),Diary,Heart failure,20,16,.62a,1.01**de
Carli et al. (2008),UV meter,Sun protection,46,40,3.39***b,-.51*c
Carter et al. (2013) Comp. 1',Phone,"Weight, diet, PA",40,20,.94***,.30d
Carter et al. (2013) Comp. 2',Phone,"Weight, diet, PA",27,20,.14a,-.33d
Chambliss et al. (2011),PDA,Weight,34,33,"-.59""ᵃ",-.08°
Chao (2010),Step log,PA,20,20,3.52***b,.27d
Chau et al. (2012),PDA,COPD,22,18,3.64***b,-.05d
Acharya et al. (2011),PDA,Weight,129,62,.66***a,.12de
Cho et al. (2006),SMBG,BG,35,36,0.5,.82**de
Clarke et al. (2009),Website,Depression,58,58,2.58***b,0.81
Coughlin et al. (2013) Comp. 1k,Diary,Diet,292,144,.26***,.13d
Coughlin et al. (2013) Comp. 2',Diary,Diet,301,144,.38****,.27**d1
Cussler et al. (2008),Website,"Weight, diet, PA",38,40,4.17***b,.01°
D'Eram (1987) Comp. 1m,SMBG,Weight,15,6,.42a,.54de
D'Eramo (1987) Comp. 2n,SMBG,Weight,19,6,.51a,.53de
De Blok et al. (2006),Diary,PA,8,8,4.61***b,1.50**de
De Cocker et al. (2008),Pedometer,PA,51,52,.38a,-.11de
De Cocker et al. (2012),Diary,PA,32,37,-.19ᵃ,.51d
Akers et al. (2012),Tracking sheets,"Weight, diet",18,21,-.13***ᵃ,-.02ᵈ
Dennis et al. (2012),Website,"Weight, diet, PA",18,21,3.39***b,-.06de
Dennison et al. (2014) Comp. 1°,Website,"Weight, diet, PA",247,138,2.35***b,.91***d
Dennison et al. (2014) Comp. 2P,Website,"Weight, diet, PA",264,138,2.09***b,.77**d
DeWalt et al. (2006),Diary,Healthcare use,52,59,1.22****,-.19°
Domingo et al. (2011),Website/television,Healthcare use,44,42,3.48***b,-.11°
Duran et al. (2010),SMBG,BG,99,62,2.28****,2.70***de
Farmer et al. (2007) Comp. 19,SMBP,BG,150,76,3.31***b,.16dq
Farmer et al. (2007) Comp. 2,SMBP,BG,151,76,2.97***b,.20dr
Gajecki et al. (2014),Phone,Alcohol,341,489,3.50***b,#NAME?
Gokee LaRose et al. (2010),Diary,Weight,21,23,.96***b,-1.22**d
Allen et al. (2013) Comp. 1f,Phone,Weight,11,4,2.76***b,.45d
Gokee LaRose et al. (2009),Digital scales,Weight,20,17,1.12****,.10d
Gold et al. (2007),Website,Diet,51,50,.58****,.46*d
Goto et al. (2014),Phone,"PA, blood coagulation",16,16,4.11***b,.05de
Goulis et al. (2004),Phone,"Weight, BP, Physiol.",45,77,3.08***b,.57**de
Haapala et al. (2009),Phone,"Weight, diet, PA",45,40,2.43***b,.42de
Haddock et al. (2014),Website,"Weight, diet, PA",229,253,.91****,25**d
Hannum et al. (2004),Diary,"Weight, diet",26,27,.16a,.38d
Hellerstedt & Jeffrey (1997) Comp. 1s,Phone,Weight,20,11,4.32***b,-1.48**d
Hellerstedt & Jeffrey (1997) Comp. 2t,Phone,"Diet, PA",17,11,3.70***b,.83d
Helsel et al. (2007),Diary,Weight,21,21,.23a,.07d
Allen et al. (2013) Comp. 2g,Phone,Weight,10,4,2.71**b,.42d
Homko et al. (2012),Website/phone,BG,40,40,.04a,.21°
Allen et al. (2013) Comp. 3h,Phone,Weight,10,4,2.02**b,-.10ᵈ
Amsberg et al. (2009),Blood sugar,BG,36,38,.70***,.47°
An et al. (2006),Website,Smoking,257,260,10.72***b,.45***c
