Study,Progress monitoring method,Focal behavior/outcome,NE,Nc,PM,GA
Webber et al. (2008),Diary,Weight,33,33,.03a,.31d
Wing et al. (2006) Comp. 1y,Phone,Weight,103,49,3.82***b,.37d
Wing et al. (2006) Comp. 2,Website,Weight,100,49,3.75***b,.04d
Wing et al. (2010),Website,Weight,74,76,.16a,.61d
Wing et al. (1996) Study 1,Diary,Weight,23,27,3.51***b,.44*d
"Young, Medic, & Starkes (2009)",Swim log,PA,15,11,-.71ᵃ,1.00***de
Sugden et al. (2008),Diary,PA,27,18,.88***,-.04d
Talbot et al. (2003),Pedometer,PA,17,17,3.55***b,.29de
Tan et al. (2011),SMBG,BG,82,82,14.46****,.49**°
Tate et al. (2001),Website,Weight,33,32,1.09****,.65**d
Thorndike et al. (2012),Website,Weight,145,130,3.36***b,.16d
Turner-McGrievy & Tate (2011),Phone,Weight,42,45,.22a,.05d
Van der Meer et al. (2009),Website,Asthma,91,92,2.46***b,3.80***d
Wang et al. (2012),PDA,Weight,59,60,.29a,.46*ᵈ
